net|sta|evtnum|mean(azimuth)|std|median|mad|starttime|endtime
CC|HNS|58|-1.07|6.39|-0.95|5.46|2008-07-05T02:12:00Z|2009-03-30T12:11:00Z
CC|KSH|28|15.23|10.55|15.37|9.59|2008-07-06T01:00:00Z|2009-01-03T22:33:00Z
CC|LIQ|34|-9.46|7.62|-8.32|4.08|2008-07-05T02:12:00Z|2009-03-02T00:03:00Z
CC|LYN|49|-4.01|3.99|-3.94|2.48|2008-07-05T02:12:00Z|2009-03-28T17:59:00Z
CC|LZH|24|-1.76|6.58|-3.25|3.61|2008-07-05T02:12:00Z|2008-09-26T18:46:00Z
CC|LZH|40|-5.98|5.83|-5.21|5.65|2008-10-18T00:54:00Z|2009-03-30T12:07:00Z
CC|NJ2|47|2.55|3.81|2.52|2.58|2008-07-05T02:12:00Z|2009-03-28T17:59:00Z
CC|NNC|20|-2.58|8.91|-3.86|5.03|2008-07-05T02:12:00Z|2008-10-19T05:10:00Z
CC|PZH|22|-0.37|6.04|0.39|5.31|2008-07-05T02:12:00Z|2008-09-11T00:00:00Z
CC|PZH|14|-6.25|6.56|-5.57|5.92|2008-09-11T00:20:00Z|2009-01-06T22:48:00Z
CC|QIL|26|-1.49|7.34|-2.18|8.35|2007-09-12T11:10:00Z|2008-01-04T07:29:00Z
CC|QIL|33|10.63|9.97|9.48|5.66|2008-01-20T20:26:00Z|2008-08-12T05:25:00Z
CC|QIL|29|14.65|4.62|15.36|4.57|2008-09-08T18:52:00Z|2009-04-15T20:01:00Z
CC|QIX|115|0.40|5.03|-0.24|4.46|2007-09-12T11:10:00Z|2008-11-04T18:35:00Z
CC|QIX|44|-2.45|5.00|-2.05|4.76|2008-11-07T16:04:00Z|2009-11-17T15:30:00Z
CC|QZH|36|2.70|2.91|2.87|2.16|2008-07-05T02:12:00Z|2009-03-28T17:59:00Z
CC|SNY|23|0.51|7.14|0.19|8.47|2008-07-14T04:44:00Z|2008-10-23T09:21:00Z
CC|SNY|15|-5.21|4.92|-5.30|5.13|2008-10-28T16:00:00Z|2009-02-12T07:38:00Z
CC|SZN|12|-3.25|2.99|-3.83|3.05|2008-11-07T16:04:00Z|2009-03-28T17:59:00Z
CC|TIA|42|-6.27|5.35|-7.25|4.63|2008-07-05T02:12:00Z|2009-03-30T12:07:00Z
CC|TLK|35|-0.13|3.78|0.46|3.22|2007-09-12T11:10:00Z|2007-12-22T07:11:00Z
CC|TLK|59|1.61|8.02|2.20|4.00|2007-12-22T12:26:00Z|2008-11-16T17:02:00Z
CC|TLK|23|6.34|4.12|6.65|4.67|2008-12-06T10:55:00Z|2009-03-19T18:17:00Z
CC|TNC|11|-7.64|5.46|-8.17|4.52|2008-07-05T02:12:00Z|2008-08-04T20:45:00Z
CC|TNC|44|-0.89|6.00|0.46|4.25|2008-08-30T06:54:00Z|2009-03-30T12:11:00Z
CC|WEZ|45|2.53|4.34|2.19|5.34|2008-07-05T02:12:00Z|2009-03-19T18:17:00Z
CC|WUS|19|-4.39|5.01|-2.96|4.21|2008-07-05T02:12:00Z|2009-01-06T22:48:00Z
CC|XBZ|102|-13.86|4.98|-13.07|5.17|2007-09-12T11:10:00Z|2009-07-16T23:52:00Z
CC|XIT|40|-1.01|6.64|-1.44|4.05|2007-09-12T11:10:00Z|2008-04-11T17:45:00Z
CC|XIT|16|0.20|3.24|0.60|2.51|2008-12-06T10:55:00Z|2009-04-15T20:01:00Z
CC|XLD|44|-5.88|11.43|-6.68|8.55|2007-09-12T23:49:00Z|2007-12-19T09:30:00Z
CC|XLD|90|3.88|6.49|4.09|5.38|2008-03-20T14:10:00Z|2009-04-15T20:01:00Z
CC|XLT|37|5.12|3.46|4.42|3.16|2008-07-19T09:27:00Z|2009-01-06T22:48:00Z
CC|YAY|49|-5.05|12.02|-2.94|3.48|2007-09-12T11:10:00Z|2008-03-22T21:24:00Z
CC|YAY|32|-7.47|7.27|-7.03|4.71|2008-04-09T11:13:00Z|2008-09-10T03:00:00Z
CC|YAY|106|-3.28|6.61|-3.46|4.31|2008-09-16T11:15:00Z|2009-11-05T07:12:00Z
CC|YCH|27|-4.31|6.03|-4.77|6.67|2008-07-05T02:12:00Z|2008-11-04T18:35:00Z
CC|YCH|22|-0.06|5.27|-0.14|5.34|2008-11-07T07:19:00Z|2009-03-30T12:11:00Z
CC|YUS|85|-3.83|10.97|-1.26|7.24|2007-09-12T11:10:00Z|2008-11-16T17:02:00Z
CC|YUS|29|-3.04|12.42|-0.08|8.95|2008-11-27T17:31:00Z|2009-04-15T20:01:00Z
CC|ZHB|23|-0.36|8.89|0.23|9.15|2007-09-12T11:10:00Z|2008-02-14T10:09:00Z
