,gcmtid,depth,process_flag,p_z,p_r,s_z,s_r,s_t,surf_z,surf_r,surf_z_mt,surf_r_mt,p_all,sv_all,sh_all,ray_all,theall
58,200712251404A,d15,preprocessed_20s_to_120s,8.454734817242155e-06,1.1568458580274852e-05,3.0993037673088844e-05,2.9157664260941288e-05,3.120217120973751e-05,8.859738150416107e-06,8.166418301247162e-06,0.3378089313822322,0.4014572761354051,1.0011596698758503e-05,3.0075350967015066e-05,3.120217120973751e-05,8.513078225831635e-06,1.9950549275335678e-05
59,200712251404A,d15,preprocessed_40s_to_120s,4.136805552867665e-06,6.376263629253156e-06,1.6515238224447964e-05,1.6312568203585256e-05,1.902124476449259e-05,3.068707247418975e-06,2.6341874796712932e-06,0.5254518203249479,0.44114647535904533,5.25653459106041e-06,1.641390321401661e-05,1.902124476449259e-05,2.851447363545134e-06,1.0885782483278686e-05
60,200712251404A,d5,preprocessed_10s_to_120s,1.2383087011656101e-05,1.4585243601391334e-05,5.164345141321555e-05,4.582150703964024e-05,4.52417926749922e-05,1.5234555425803957e-05,1.2486686348105957e-05,0.5605404949690167,0.5294749786587636,1.3484165306523717e-05,4.8732479226427896e-05,4.52417926749922e-05,1.3860620886954957e-05,3.0329764523724693e-05
61,200712251404A,d5,preprocessed_20s_to_120s,7.878230199439978e-06,1.129302177057934e-05,3.28701089927158e-05,2.971771411574616e-05,3.2587972722817074e-05,1.0321358209571382e-05,8.954369544534212e-06,0.35474894771375587,0.39938846153918306,9.585625985009658e-06,3.129391155423098e-05,3.2587972722817074e-05,9.637863877052798e-06,2.077634353477763e-05
62,200712251404A,d5,preprocessed_40s_to_120s,3.5133140099611145e-06,6.194676088136784e-06,1.4214315874222534e-05,1.5561521828232347e-05,1.916497128910503e-05,2.621235478611152e-06,2.4276697921570024e-06,0.47240545434473213,0.4087485850230728,4.853995049048949e-06,1.488791885122744e-05,1.916497128910503e-05,2.5244526353840773e-06,1.0357834456191373e-05
63,200803031349A,d-10,preprocessed_10s_to_120s,1.1419369288048226e-05,1.404794095370478e-05,4.195916555077654e-05,4.5064928184818936e-05,6.478685904025043e-05,2.8258837655427334e-05,1.9448916634781002e-05,0.6649581632423105,0.7060532696777762,1.2733655120876502e-05,4.351204686779774e-05,6.478685904025043e-05,2.3853877145104166e-05,3.622160954350721e-05
64,200803031349A,d-10,preprocessed_20s_to_120s,7.63226900247877e-06,1.2210080904703606e-05,2.614623340346296e-05,2.8234358507187473e-05,4.0469966824176763e-05,6.459136648932201e-06,5.970173168990059e-06,0.36723976820240467,0.4226641665355672,9.921174953591188e-06,2.7190295955325218e-05,4.0469966824176763e-05,6.2146549089611294e-06,2.0949023160513575e-05
65,200803031349A,d-10,preprocessed_40s_to_120s,3.946524281213812e-06,7.08613561250782e-06,1.5260541694407652e-05,1.2596809381137151e-05,1.4515015573013888e-05,2.1828601314825214e-06,1.756816447880715e-06,0.3038611779374831,0.2889748550644077,5.516329946860816e-06,1.3928675537772402e-05,1.4515015573013888e-05,1.969838289681618e-06,8.98246483683218e-06
66,200803031349A,d-15,preprocessed_10s_to_120s,1.1937911785204073e-05,1.4409302141037987e-05,4.3249965967913085e-05,4.9306679611940324e-05,7.395485667088361e-05,2.7258440882716537e-05,2.1256249756328118e-05,0.7074917553069296,0.7385439191153628,1.317360696312103e-05,4.6278322789926705e-05,7.395485667088361e-05,2.4257345319522328e-05,3.941603293586342e-05
67,200803031349A,d-15,preprocessed_20s_to_120s,7.774261737656688e-06,1.2255407883708968e-05,3.0962444101798e-05,3.128742811000517e-05,4.309855285014871e-05,7.157200615603769e-06,6.759570440336688e-06,0.4620488890264629,0.4553376383639637,1.0014834810682827e-05,3.1124936105901584e-05,4.309855285014871e-05,6.958385527970229e-06,2.2799177323675833e-05
