gcmtid,snr_r,snr_t,snr_z,allsnr_r,allsnr_t,allsnr_z,count
200910262350A,2.1531328440367026,1.0078847706422003,3.618114678899085,1173.457400000003,549.2971999999992,1971.8725000000013,545
200910291700A,4.288980307396731,2.8995224783861686,8.151466186359263,4464.828499999997,3018.4029000000014,8485.676299999994,1041
200910300703A,15.074348434237992,11.98134185803758,20.094926826722322,14441.225799999997,11478.1255,19250.939899999983,958
200911022135A,4.984500429799424,5.541640114613182,10.625174785100281,3479.1812999999984,3868.064800000001,7416.371999999996,698
200911031803A,2.4826142020497803,0.9448686676427513,5.558235724743778,1695.6255,645.3452999999992,3796.275,683
200911040621A,2.6913155448717943,1.7927383012820512,6.771865865384616,1679.3808999999997,1118.6687,4225.644300000001,624
200911042156A,4.8871964539007156,4.139842857142859,8.957983282674768,4823.662900000007,4086.0249000000017,8841.529499999995,987
200911050932A,9.799485104052577,8.128616648411828,17.332940635268354,8946.929900000003,7421.426999999999,15824.974800000007,913
200911051134A,4.135604756242571,3.5053190249702775,9.335056956004767,3478.043600000002,2947.9733000000033,7850.782900000008,841
200911111348A,9.514223289665214,9.050021251819512,17.430991557496345,6536.271400000001,6217.364600000004,11975.091199999988,687
200911170039A,1.8668809322033904,0.9451186440677968,2.6028402542372873,881.1678000000003,446.09600000000006,1228.5405999999996,472
200911281810A,10.323013587604285,9.81807818831943,15.929815017878422,8661.008399999995,8237.367600000001,13365.114799999996,839
200911292009A,6.970274206896541,6.235636137931025,13.427786896551732,5053.448799999992,4520.836199999993,9735.145500000006,725
200912011611A,1.5784419237749547,0.7973499092558989,3.6894994555353917,869.7215000000001,439.3398000000003,2032.9142000000008,551
200912020614A,2.6512554502369645,1.0662605055292276,6.071140284360194,1678.2446999999986,674.942900000001,3843.0318000000025,633
200912100230A,7.325502733485199,2.4045422551252846,10.419275626423682,6431.791400000005,2111.1881,9148.123999999993,878
200912101506A,2.8337171826625407,1.5820798761609904,5.901429721362223,1830.5813000000012,1022.0235999999999,3812.3235999999956,646
200912172041A,0.9076732352941178,-0.3634879411764706,-0.6202460294117653,617.2178000000001,-247.17180000000002,-421.76730000000043,680
200912191302A,15.599799552572703,10.564084116331097,21.29341644295302,13946.220799999997,9444.291200000001,19036.314300000002,894
200912240023A,7.657230236966825,3.3522496682464458,10.4541771563981,8078.3779,3536.6234000000004,11029.156899999994,1055
200912260509A,3.6804240231548424,2.8356034732272097,9.77403415340086,2543.172999999996,1959.4020000000019,6753.857599999994,691
200912280012A,1.676989756097561,0.5293959349593496,3.1727513821138227,1031.3487,325.57849999999996,1951.242100000001,615
200912290901A,4.204822727272731,2.046985294117647,8.383845855614968,3145.207400000003,1531.145,6271.116699999996,748
200912292214A,3.3341259701492523,2.502721194029856,8.246549701492532,2233.864399999999,1676.8232000000035,5525.188299999996,670
200912300748A,2.0579964285714283,0.9130982142857155,4.147617207792204,1267.7258,562.4685000000007,2554.932199999998,616
200912301117A,4.075206460674159,2.973124438202245,9.544060955056173,2901.547000000001,2116.8645999999985,6795.371399999995,712
201001020845A,12.479686927223723,8.816948113207538,19.35797803234501,9259.927700000002,6542.175499999993,14363.619699999997,742
201001081214A,2.887472073578592,1.8157525083612027,5.686024581939794,1726.708299999998,1085.8199999999993,3400.2426999999966,598
201001141403A,11.106913132694931,8.596792202462385,18.165193433652547,8119.153499999995,6284.255100000004,13278.756400000011,731
201001141846A,1.5635980712166189,0.5285182492581603,2.1079842729970335,1053.8651000000011,356.22130000000004,1420.7814000000005,674
201001151108A,3.028655452436191,0.7325607888631088,3.8688464037122956,2610.7009999999964,631.4673999999998,3334.9455999999986,862
201001170604A,6.841208588235307,5.340335411764702,13.850465999999996,5815.027300000011,4539.285099999996,11772.896099999996,850
