,gcmtid,depth,process_flag,p_z,p_r,s_z,s_r,s_t,surf_z,surf_r,surf_z_mt,surf_r_mt,p_all,sv_all,sh_all,ray_all,theall
41,200710061238A,d5,preprocessed_40s_to_120s,2.4134931918424474e-06,3.6660670833288703e-06,8.154207391595932e-06,1.291157405630308e-05,1.6934000008850716e-05,1.5144033185263376e-06,1.8097534407441427e-06,0.38974388232008345,0.46205991741240876,3.039780137585659e-06,1.0532890723949507e-05,1.6934000008850716e-05,1.6620783796352402e-06,8.042187312505281e-06
42,200712251404A,d-10,preprocessed_10s_to_120s,1.3978626712519389e-05,1.6754811761490498e-05,5.4350279417264364e-05,4.7553695419654184e-05,5.296209907601953e-05,2.5832015640717704e-05,1.889212395506655e-05,0.7848050209798303,0.725993777036692,1.5366719237004943e-05,5.0951987418459274e-05,5.296209907601953e-05,2.2362069797892127e-05,3.541071888234397e-05
43,200712251404A,d-10,preprocessed_20s_to_120s,9.472295799799007e-06,1.2293288608279386e-05,3.661883145341002e-05,3.500783665931881e-05,3.639860926131691e-05,1.1320442157671708e-05,9.771317986278529e-06,0.28013798034132364,0.38242079056956496,1.0882792204039197e-05,3.5813334056364416e-05,3.639860926131691e-05,1.0545880071975119e-05,2.341015389842391e-05
44,200712251404A,d-10,preprocessed_40s_to_120s,4.313750960390913e-06,6.40116081056969e-06,9.747228496401431e-06,1.5149683250489215e-05,1.7814736233840456e-05,1.546748899442167e-06,2.0898363103209472e-06,0.2581839809168928,0.35750665349715643,5.357455885480302e-06,1.2448455873445323e-05,1.7814736233840456e-05,1.818292604881557e-06,9.35973514941191e-06
45,200712251404A,d-15,preprocessed_10s_to_120s,1.4424409243000376e-05,1.7164821235522796e-05,5.370880035388042e-05,4.45167566461597e-05,5.331973007653365e-05,2.771190452421267e-05,1.9738485616821325e-05,0.7958361649563439,0.7605152056319815,1.5794615239261587e-05,4.9112778500020064e-05,5.331973007653365e-05,2.3725195070516998e-05,3.548807972158308e-05
46,200712251404A,d-15,preprocessed_20s_to_120s,9.791933089428897e-06,1.2502784450950347e-05,3.340998726045986e-05,3.365526798291422e-05,3.6405222881848084e-05,9.49265647191429e-06,8.790847862347106e-06,0.3009044986254075,0.4431616236190069,1.1147358770189623e-05,3.353262762168704e-05,3.6405222881848084e-05,9.141752167130698e-06,2.2556740360213863e-05
47,200712251404A,d-15,preprocessed_40s_to_120s,5.033554483702158e-06,6.949342489504015e-06,9.125726868149662e-06,1.4366395683517323e-05,1.760164500863327e-05,1.7052230606853439e-06,2.11859686415308e-06,0.349515065055482,0.4449353071823441,5.9914484866030865e-06,1.1746061275833493e-05,1.760164500863327e-05,1.911909962419212e-06,9.312766183372266e-06
48,200712251404A,d-5,preprocessed_10s_to_120s,1.2983036042083518e-05,1.6124995326586213e-05,5.2859515822677726e-05,4.745813979108981e-05,5.129442845611468e-05,2.1528945059985548e-05,1.6166615023282516e-05,0.733868660032211,0.6778667596456995,1.4554015684334866e-05,5.015882780688377e-05,5.129442845611468e-05,1.8847780041634032e-05,3.371376299724184e-05
49,200712251404A,d-5,preprocessed_20s_to_120s,8.990285344475396e-06,1.1992006138002997e-05,3.63957013423818e-05,3.437381544377623e-05,3.527698534295997e-05,1.1304101663132472e-05,9.695451022972994e-06,0.3090473796427658,0.38555980244552374,1.0491145741239196e-05,3.5384758393079014e-05,3.527698534295997e-05,1.0499776343052733e-05,2.2913166455082728e-05
50,200712251404A,d-5,preprocessed_40s_to_120s,4.315805479309965e-06,6.3706457800916245e-06,1.1307403752650562e-05,1.6721352242658172e-05,1.7579082334109232e-05,1.8453975721954743e-06,2.5963233370215454e-06,0.2790080075113026,0.3744996928037816,5.343225629700795e-06,1.4014377997654368e-05,1.7579082334109232e-05,2.22086045460851e-06,9.789386604018226e-06
51,200712251404A,d0,preprocessed_10s_to_120s,1.2675446533082882e-05,1.5868022042558206e-05,5.2008583834004444e-05,4.6717766221924145e-05,5.047489407912998e-05,1.8169343719328023e-05,1.414813043735056e-05,0.6555659860002218,0.6035678023741555,1.4271734287820544e-05,4.93631750279643e-05,5.047489407912998e-05,1.6158737078339292e-05,3.2567135118313526e-05
52,200712251404A,d0,preprocessed_20s_to_120s,8.406995160498013e-06,1.1998715810670653e-05,3.550051372041854e-05,3.323517671478944e-05,3.42592123698526e-05,1.0860481332175422e-05,9.408783249980887e-06,0.3276658482107827,0.38989234240108467,1.0202855485584333e-05,3.436784521760399e-05,3.42592123698526e-05,1.0134632291078155e-05,2.2241136341029767e-05
53,200712251404A,d0,preprocessed_40s_to_120s,4.571140475481295e-06,6.5550870963345745e-06,1.3203794156268667e-05,1.723020080596208e-05,1.7403275975151944e-05,2.253037509293883e-06,2.9218176223613217e-06,0.3450768415644557,0.40532676420124397,5.563113785907934e-06,1.5216997481115373e-05,1.7403275975151944e-05,2.5874275658276024e-06,1.0192703702000713e-05
54,200712251404A,d10,preprocessed_10s_to_120s,1.3329446859148658e-05,1.545708684758526e-05,5.174960315776236e-05,5.0279568606072285e-05,4.644097227876402e-05,1.318202805692156e-05,1.1548797953947848e-05,0.4707305554429835,0.4841070891566005,1.4393266853366958e-05,5.101458588191732e-05,4.644097227876402e-05,1.2365413005434703e-05,3.105355950487075e-05
55,200712251404A,d10,preprocessed_20s_to_120s,8.080217801447881e-06,1.2105431118418874e-05,3.262540781661356e-05,3.170281827651665e-05,3.4975025691888256e-05,9.433769444293554e-06,8.653784815940944e-06,0.34470176419956583,0.3942716651527852,1.0092824459933378e-05,3.216411304656511e-05,3.4975025691888256e-05,9.04377713011725e-06,2.1568935082126e-05
56,200712251404A,d10,preprocessed_40s_to_120s,5.280877820219248e-06,7.195509313642123e-06,1.608681410282784e-05,1.8237387874102152e-05,1.7556746934958847e-05,2.848182045396448e-06,2.8889516050327936e-06,0.4510407263515765,0.3924503572232537,6.2381935669306855e-06,1.7162100988464996e-05,1.7556746934958847e-05,2.8685668252146206e-06,1.0956402078892287e-05
57,200712251404A,d15,preprocessed_10s_to_120s,1.3943262523280558e-05,1.5821072088828362e-05,5.006960732114381e-05,5.096709869401349e-05,4.6551642022671635e-05,1.1853570081978978e-05,1.0710508836874997e-05,0.4118435509369367,0.4381183126277261,1.488216730605446e-05,5.0518353007578646e-05,4.6551642022671635e-05,1.1282039459426987e-05,3.0808550448932936e-05
58,200712251404A,d15,preprocessed_20s_to_120s,8.44406680953655e-06,1.216070454770047e-05,3.1755034202670064e-05,3.181088164546553e-05,3.3196220088293997e-05,8.853708461601668e-06,8.399808172666701e-06,0.3350456175473922,0.39601039509281943,1.030238567861851e-05,3.17829579240678e-05,3.3196220088293997e-05,8.626758317134186e-06,2.097708050202862e-05
59,200712251404A,d15,preprocessed_40s_to_120s,5.5749448297426315e-06,7.649425220188004e-06,1.7033993259612784e-05,1.8385264086379552e-05,1.7638655217864722e-05,3.0119687874822346e-06,2.9784251204121156e-06,0.47617060282223017,0.40305577100450973,6.612185024965318e-06,1.7709628672996168e-05,1.7638655217864722e-05,2.995196953947175e-06,1.1238916467443347e-05
60,200712251404A,d5,preprocessed_10s_to_120s,1.2925547370233126e-05,1.6009056453831256e-05,5.328172735214301e-05,4.9080030462377444e-05,4.8965518129666365e-05,1.5281956062144636e-05,1.2551031742761476e-05,0.5641570693677563,0.5364602794570233,1.4467301912032191e-05,5.1180878907260225e-05,4.8965518129666365e-05,1.3916493902453055e-05,3.213254821285296e-05
61,200712251404A,d5,preprocessed_20s_to_120s,8.01023004657707e-06,1.1919357292226914e-05,3.4040269248567194e-05,3.251203599154808e-05,3.457948751782379e-05,1.0239860231768481e-05,9.07292281055624e-06,0.34966501527520716,0.3949137224730876,9.964793669401992e-06,3.3276152620057635e-05,3.457948751782379e-05,9.65639152116236e-06,2.1869206332111444e-05
62,200712251404A,d5,preprocessed_40s_to_120s,4.953177956955255e-06,6.870654635018441e-06,1.4897828871970732e-05,1.7636208923371464e-05,1.7833550950608422e-05,2.5827562240352523e-06,2.691876500355913e-06,0.4117879452178638,0.3765325360283451,5.911916295986848e-06,1.62670188976711e-05,1.7833550950608422e-05,2.6373163621955824e-06,1.0662450626615489e-05
63,200803031349A,d-10,preprocessed_10s_to_120s,1.1419369288048226e-05,1.4070461920239201e-05,4.214212253124343e-05,4.6553135141696566e-05,6.577229206891813e-05,2.8258837655427334e-05,1.9334730308851847e-05,0.6649581632423105,0.7125239436483407,1.2744915604143714e-05,4.434762883647e-05,6.577229206891813e-05,2.379678398213959e-05,3.666540512291786e-05
64,200803031349A,d-10,preprocessed_20s_to_120s,7.63226900247877e-06,1.222653884304071e-05,2.617843004898869e-05,2.916066486227943e-05,4.056259004275814e-05,6.48604367571961e-06,6.019392625825764e-06,0.37054250815866735,0.4276683754345427,9.929403922759741e-06,2.766954745563406e-05,4.056259004275814e-05,6.2527181507726874e-06,2.1103564892981158e-05
65,200803031349A,d-10,preprocessed_40s_to_120s,3.9639686886060084e-06,7.114076372244655e-06,1.5787431346916745e-05,1.3379888837757472e-05,1.4496998573084435e-05,2.2216765901850587e-06,1.8084771594528445e-06,0.3108274756161745,0.29435419880970054,5.539022530425332e-06,1.458366009233711e-05,1.4496998573084435e-05,2.0150768748189514e-06,9.158689517666457e-06
66,200803031349A,d-15,preprocessed_10s_to_120s,1.1937911785204073e-05,1.4472497380632484e-05,4.341812532821747e-05,5.0607114628352436e-05,7.498941395557932e-05,2.7258440882716537e-05,2.11328694508286e-05,0.7074917553069296,0.7456043079782675,1.3205204582918279e-05,4.7012619978284954e-05,7.498941395557932e-05,2.4195655166772567e-05,3.985072342088878e-05
67,200803031349A,d-15,preprocessed_20s_to_120s,7.774261737656688e-06,1.2271786860659141e-05,3.202466976273319e-05,3.216161334607696e-05,4.315720760974968e-05,7.182024623167873e-06,6.799598912988001e-06,0.46519051013205814,0.4589291869110914,1.0023024299157915e-05,3.209314155440507e-05,4.315720760974968e-05,6.990811768077937e-06,2.306604630784765e-05
68,200803031349A,d-15,preprocessed_40s_to_120s,4.159585464510507e-06,7.3220107120950755e-06,1.99136828458264e-05,1.701883812385501e-05,1.4859788535635875e-05,2.9177301296476676e-06,2.256420966981211e-06,0.40814707048375487,0.3509768413762283,5.740798088302791e-06,1.8466260484840704e-05,1.4859788535635875e-05,2.5870755483144394e-06,1.0413480664273452e-05
69,200803031349A,d-5,preprocessed_10s_to_120s,1.1805097980114817e-05,1.5418917673545576e-05,4.5002785455495594e-05,4.52769279262415e-05,5.918152486226754e-05,2.7972156123298296e-05,1.9531358266139523e-05,0.6620011447882146,0.6636996628580475,1.3612007826830195e-05,4.513985669086854e-05,5.918152486226754e-05,2.375175719471891e-05,3.5421286643671295e-05
70,200803031349A,d-5,preprocessed_20s_to_120s,7.805553800148408e-06,1.2362371396593158e-05,3.0723308950202644e-05,3.115028128383736e-05,3.903483336455179e-05,7.918200490498831e-06,6.82482684788123e-06,0.3467790966929097,0.3756094463464114,1.0083962598370782e-05,3.093679511702e-05,3.903483336455179e-05,7.371513669190031e-06,2.1856776187283154e-05
71,200803031349A,d-5,preprocessed_40s_to_120s,3.814917245444927e-06,7.009605763412773e-06,1.0711051405150362e-05,1.1335190756428239e-05,1.3820042985294301e-05,1.8087971703117378e-06,1.5968843469846837e-06,0.20087051987527876,0.26383278365037216,5.41226150442885e-06,1.1023121080789302e-05,1.3820042985294301e-05,1.7028407586482109e-06,7.989566582290166e-06
72,200803031349A,d0,preprocessed_10s_to_120s,1.1622986188072665e-05,1.5406810230383082e-05,4.7833062608001704e-05,4.452214173118804e-05,5.4787931176751994e-05,2.7274940246153475e-05,1.8373182051194972e-05,0.6889425114332277,0.6318382383266306,1.3514898209227874e-05,4.617760216959487e-05,5.4787931176751994e-05,2.2824061148674222e-05,3.432612317606224e-05
73,200803031349A,d0,preprocessed_20s_to_120s,7.771192187193645e-06,1.2619571407798286e-05,3.524156927783436e-05,3.3744871509472886e-05,3.731455440034045e-05,9.411744228965588e-06,7.758428988747328e-06,0.39815600543835655,0.4037235515736799,1.0195381797495966e-05,3.449322039365363e-05,3.731455440034045e-05,8.585086608856458e-06,2.2647060800086627e-05
