201006050522A 146.9391 43.4296 70.6988 5.44 2.6 2395 702 1579020
201611230959A 140.02 27.36 491.11 5.82 4.0 2391 1012 1451311
201001250715A 131.0779 30.9127 40.762 5.41 2.6 2381 676 1591351
201608060908A 125.27 6.12 94.35 5.3 2.2 2378 989 1492261
200908240526A 140.18 41.05 170.82 5.34 2.2 2334 853 1428146
200810010938A 138.88 30.21 393.77 5.71 3.6 2317 606 1314698
200911292009A 126.6 5.39 35.45 5.69 3.6 2316 664 1449579
201308272044A 99.5 28.14 12.29 5.16 1.8 2282 868 1367258
201803181800A 150.23 45.41 102.08 5.25 2.0 2269 978 1462510
201501311229A 147.34 15.26 12.0 5.64 3.2 2265 1037 1312418
201002220521A 122.9257 24.0499 28.9083 5.22 2.0 2255 721 1460663
201008142301A 141.3813 12.2405 10.6382 6.37 7.0 2251 459 1320662
201712310348A 129.39 29.65 177.43 5.17 1.8 2245 985 1342292
201604121124A 140.66 11.19 17.27 5.29 2.2 2243 1014 1329543
200909190854A 105.627 32.877 2.6676 4.9 1.4 2230 769 1427498
201704201520A 156.49 49.15 27.15 5.25 2.0 2223 1009 1383855
201111281506A 97.67 25.09 17.62 5.16 1.8 2195 897 1317057
201309192137A 101.65 37.73 19.54 5.06 1.6 2190 994 1330372
201304170643A 123.09 24.8 12.0 5.34 2.2 2181 911 1327850
201305061314A 143.74 37.52 17.59 5.07 1.6 2171 886 1353711
200806271140A 91.8241 10.9112 18.8122 6.59 9.4 2167 267 1389091
201007251257A 155.01 49.61 136.31 5.58 3.0 2156 957 1259145
201011071926A 141.6979 24.3681 99.3705 5.6 3.2 2141 558 1321468
201112120928A 142.97 50.7 16.4 5.13 1.8 2129 865 1301671
201008140730A 141.3769 12.261 6.6386 6.13 5.6 2125 399 1441659
201502191632A 159.29 52.85 97.08 5.42 2.6 2098 1002 1493463
201011101030A 119.59 15.17 22.33 5.48 2.6 2090 972 1346582
201202281507A 139.31 28.23 504.11 5.55 2.8 2084 923 1252203
200905291951A 125.96 5.86 145.0836 5.69 3.6 2072 609 1209879
201003150935A 128.25 28.73 12.0 5.25 2.0 2068 999 1339981
201001210202A 125.4961 13.7679 11.3124 5.45 2.8 2046 600 1309186
201608220933A 138.89 29.95 408.84 5.59 3.0 2044 997 1186526
201612042134A 92.27 32.27 24.0 5.35 2.4 2033 996 1174391
201512200928A 124.38 12.93 111.77 5.33 2.2 2019 1002 1314581
200907291452A 143.24 22.7 120.1674 5.42 2.6 2015 514 1241300
201006100213A 127.1597 7.2144 19.1258 5.47 2.8 2008 647 1173152
200912301117A 126.4046 6.316 32.4155 5.49 2.8 1987 647 1233785
201012181402A 146.83 18.58 43.74 5.27 2.2 1970 992 1205748
201103161712A 121.57 56.68 16.16 5.06 1.6 1950 993 1173483
201105151214A 142.67 37.29 72.42 5.07 1.6 1938 1018 1201613
201004272022A 101.63 30.51 25.37 5.08 1.6 1937 997 1156875
200912260509A 126.5089 6.4469 31.8243 5.5 3.0 1930 627 1175824
201703272231A 138.38 42.07 12.0 5.2 2.0 1919 1005 1192979
201712210156A 142.67 29.17 12.9 5.21 2.0 1915 981 1238591
201008261508B 136.87 36.19 281.32 5.38 2.4 1890 944 1057295
200907040041A 120.61 13.8 132.3 5.2 2.0 1874 917 1179980
201303290501A 86.96 43.52 38.55 5.45 2.6 1814 882 1041726
201010301906A 141.43 34.33 16.12 5.16 1.8 1811 984 1100440
201107151800A 139.97 27.1 476.25 5.35 2.4 1810 985 1073289
201007100539A 145.176 13.8268 140.5144 5.57 3.0 1807 567 1046627
201111211016A 132.8 34.86 16.97 5.08 1.6 1807 884 1103801
200805191008A 131.9614 42.5081 527.932 5.66 3.2 1765 565 1012298
200805121111A 103.619 31.3006 9.0815 5.93 5.4 1761 469 1093398
201003240244A 92.92 32.37 12.6719 5.31 2.6 1748 781 1004350
200709031614A 150.314 45.7699 97.5065 6.18 6.0 1742 188 1067497
200911040621A 126.5593 7.0331 89.2833 5.43 2.6 1739 571 1086800
200911031803A 141.37 26.26 95.8 5.28 2.2 1722 626 1070916
201107181815A 152.96 52.76 499.11 5.46 2.6 1720 993 986599
200911051134A 120.5991 23.8491 23.3909 5.14 2.0 1715 775 1040752
200803031411A 125.59 13.52 13.2781 6.86 13.4 1683 309 1162163
201511131221A 147.47 17.26 15.65 5.48 2.6 1681 1005 955210
201608100406A 125.74 5.59 137.15 5.33 2.2 1680 996 1055566
201706150311A 122.5 19.87 188.99 5.18 1.8 1668 994 974185
200712070047A 141.24 30.02 83.0805 5.85 4.2 1656 299 1064484
201310292017A 130.86 43.2 560.32 5.3 2.2 1655 995 983395
200910250617A 130.2464 29.0285 40.6337 5.11 1.8 1642 612 1115700
201007090041A 122.5097 24.7069 120.2429 5.11 1.8 1617 646 992939
200910232000B 162.44 54.63 34.18 5.09 1.6 1613 983 1061413
201502260111A 142.0 38.41 35.89 5.11 1.8 1613 1010 1065497
201501081842A 145.05 43.69 116.13 5.38 2.4 1607 1007 912624
201001081214A 126.78 6.14 103.4176 5.36 2.4 1589 544 970635
201002280817A 142.1886 34.6814 16.9288 5.41 2.4 1589 834 964018
201601041436A 120.86 19.23 31.31 5.07 1.6 1588 1010 1011095
200905011257A 140.36 26.21 414.74 5.29 2.0 1587 950 922224
201011021810A 146.87 46.82 362.35 5.46 2.6 1583 983 902326
201708080549A 126.84 26.47 17.67 5.15 1.8 1569 976 946876
201105101526A 130.98 43.61 564.45 5.73 3.4 1555 1032 895471
200902280035A 142.0874 42.6166 105.3827 5.41 2.6 1548 555 940044
200912101506A 126.5102 6.5399 45.0407 5.15 1.8 1548 593 1007631
201012250555A 141.17 25.45 12.0 5.23 2.0 1545 1007 986210
201008130133A 148.66 48.13 394.13 5.41 2.4 1545 961 932739
201708021818A 93.76 24.34 42.26 5.15 1.8 1523 989 872024
201804240408A 94.7 22.84 120.62 5.17 1.8 1508 971 894044
200904200722A 129.91 27.09 12.0 5.07 1.6 1484 938 892699
201501180641A 113.75 56.21 17.05 5.05 1.6 1478 1009 872908
200912020614A 141.6976 37.1412 45.0663 5.07 1.8 1477 579 937426
201205112034A 138.47 30.75 402.9 5.23 2.0 1471 903 870163
201101291238A 142.85 21.71 319.07 5.47 2.6 1451 996 847929
201701121704A 132.96 41.76 495.64 5.39 2.4 1443 1003 851352
201307281136A 137.84 31.08 463.95 5.36 2.4 1441 873 834669
201611250726A 160.95 54.35 99.93 5.23 2.0 1439 997 981629
201804132146A 151.19 46.48 111.1 5.09 1.6 1423 969 939903
201301240735A 87.75 49.8 19.62 5.19 2.0 1420 902 837278
201006111658A 143.01 26.62 12.77 5.57 2.8 1413 762 827346
200801070746A 125.5422 12.476 20.9645 5.5 3.0 1411 510 883367
201103221549A 142.27 39.17 37.83 5.14 1.8 1407 1006 954588
200804161919A 140.1701 39.0921 167.5731 5.79 3.8 1405 212 812107
201205262000A 140.19 27.02 485.23 5.27 2.0 1401 897 843108
200808011035A 120.77 13.56 127.6464 5.52 3.0 1395 263 862638
201802052056A 140.22 26.93 471.58 5.46 2.6 1382 974 809948
201003061723A 144.12 14.63 12.0 5.24 2.0 1367 982 810392
201708050739A 125.05 7.88 19.52 5.2 2.0 1361 977 791247
200909112057A 142.3291 23.7437 82.4152 5.19 2.0 1329 609 797616
200806292053A 137.37 45.1167 324.9483 5.96 4.6 1319 242 742424
201308182234A 124.68 6.49 377.58 5.47 2.6 1314 875 737151
201005012357A 145.5435 14.8571 114.154 5.33 2.4 1308 483 814403
201308112358A 97.94 30.02 21.22 5.13 1.8 1308 871 805115
200901191729A 127.06 7.69 24.17 5.07 1.6 1301 938 794359
201612201351A 119.47 16.25 14.08 5.2 2.0 1299 1010 776812
200903311529A 145.97 18.33 171.7503 5.46 2.6 1298 506 743943
200803201410A 127.1305 6.0693 60.0655 6.03 5.2 1290 187 856667
201209030214A 126.63 10.35 15.62 5.28 2.2 1289 883 740920
201312281931A 146.96 20.8 14.11 5.56 3.0 1261 996 722044
201103121146A 141.86 35.83 12.0 5.29 2.2 1260 985 722155
200904230211A 161.53 55.83 147.48 5.18 1.8 1259 937 791976
201712182328A 131.76 30.78 12.0 5.09 1.8 1256 978 746588
201507152216A 145.11 18.89 515.97 5.43 2.6 1255 1007 700856
200906191506A 145.2953 13.7342 113.0363 5.45 2.8 1234 498 757740
200907262149A 94.46 10.76 12.0 5.09 1.8 1233 901 701927
201712311453A 124.89 5.47 25.19 5.13 1.8 1226 986 724572
200805092151A 143.2751 12.3481 83.5383 6.72 11.6 1224 127 774579
201204180537A 138.66 28.75 493.94 5.44 2.6 1217 928 736504
201203161837A 133.48 37.88 438.77 5.24 2.0 1210 904 713996
201501251041A 139.25 29.25 420.75 5.26 2.0 1183 1017 668804
201503120750A 145.62 12.97 18.11 5.15 1.8 1178 1014 693154
